, WE
A, DREAM
ABILITY, TO
ABLE, TO
ABOLISH, IMMIGRATION
ABOLITION, OF
ABORTION, OF
ABOUT, THE
ABRAHAM, LINCOLN
ABSOLUTE, RIGHT
ABSOLUTELY, WHEN
ACCEPT, OUR
ACCESS, TO
ACCORD, AND
ACCOUNTABILITY, AND
ACCOUNTABLE, AND
ACHIEVE, EVERY
ACHIEVED, BEFORE
ACHIEVEMENT, WE
ACROSS, THE
ACT, THEY
ACTION, TO
ACTUALLY, THEN
AD, LAID
ADD, THIS
ADDICTION, SUICIDES
ADDING, 
ADDITION, WE
ADMINISTRATION, WILL
ADMINISTRATIONS, I
ADMISSIONS, BY
ADVANCE, SO
ADVANCED, TESTING
ADVANCEMENTS, WE
ADVANTAGE, OF
ADVENTURE, RANCHERS
ADVENTURERS, EXPLORERS
AFRAID, THEY
AFRICANAMERICAN, COMMUNITY
AFRICANAMERICANS, ARE
AFTER, CHINA
AGAIN, IT
AGAINST, CHINA
AGE, OF
AGENDA, THAT
AGENDAS, THIS
AGENTS, THANK
AGGRESSIVELY, SHELTERING
AGITATORS, RIOTERS
AGO, I
AGREED, TO
AGREEMENT, 
AHEAD, OF
AIR, FORCE
ALABAMA, KENTUCKY
ALBAGHDADI, APPLAUSE
ALCOHOL, ADDICTION
ALIENS, APPLAUSE
ALL, GOD
ALLEGIANCE, NOT
ALLOW, MOB
ALLOWED, TO
ALLOWING, LOWER
ALLY, OF
ALMIGHTY, GOD
ALMOST, ALL
ALONGSIDE, THOSE
ALREADY, UNDER
ALSO, VOWED
ALTHOUGH, STOCKS
ALTOGETHER, THE
ALWAYS, PROTECT
AM, VERY
AMAZED, AFTER
AMAZING, HOW
AMBITION, OUR
AMBUSHED, JUST
AMENDMENT, DOESNT
AMERICA, GREATER
AMERICAN, FLAG
AMERICANS, BUILD
AMERICAS, SOUL
AMNESTY, FOR
AMONG, THE
AN, INCREDIBLE
ANARCHISTS, AGITATORS
ANARCHY, AND
ANCESTORS, SAILED
AND, GOD
ANDREW, JACKSON
ANGRY, AT
ANNIE, OAKLEY
ANSWERED, THE
ANTHEM, SPOKEN
ANTIBODY, TREATMENT
ANY, GOAL
ANYBODY, THANK
ANYONE, CAN
ANYTHING, HAVING
ANYWHERE, IN
APPLAUSE, ON
APPLAUSEAND, FOR
APPLAUSECHEERS, CHANTING
APPLAUSELET, US
APPLAUSEWE, ARE
APPLY, THEIR
APPOINT, PROSECUTORS
APPRECIATE, IT
APPRECIATION, FOR
APPROACH, TO
APPROVAL, RATING
APPROVE, THE
APPROVED, WORDS
APRIL, 
ARCUS, LOOTERS
ARE, THE
AREA, OF
ARKANSAS, MISSISSIPPI
ARMED, GUARDS
ARMS, APPLAUSE
ARMY, CORPS
AROUND, THE
ARRAY, OF
ARSON, AND
ARSONS, AND
ART, AND
AS, I
ASIAN, AMERICANS
ASK, YOU
ASKED, FOR
ASPECT, OF
ASSAILED, AMERICA
ASSAULTS, ON
ASYLUM, FRAUD
AT, LEVELS
ATE, REDEMPTION
ATTACK, ON
ATTACKING, THEM
ATTACKS, ON
AUTHORITY, AD
AUTO, INDUSTRY
AVAILABLE, WE
AWAY, YOUR
BABIES, RIGHT
BABYS, BEATING
BACK, OR
BACKED, THE
BACKGROUND, IN
BACKGROUNDS, THE
BAD, WE
BADGE, DETECTIVE
BADLY, DEPLETED
BAIL, IMMEDIATELY
BAILOUT, VANDALS
BAN, DEADLY
BANS, FROM
BARELY, HEARD
BAYONETS, TO
BE, THE
BEAR, ARMS
BEATING, HEART
BEAUTIFUL, FLAG
BECAUSE, TOGETHER
BECKONED, THEY
BEEN, SUCH
BEFORE, I
BEGIN, THIS
BEHIND, AND
BEING, WAGED
BELIEVE, AMERICA
BELIEVES, IN
BELONGINGS, CLIMBED
BELOVED, FAMILY
BERNIE, SANDERS
BEST, CYBER
BETRAYALS, AND
BETTER, THAN
BETWEEN, TWO
BEYOND, YOUR
BIBLES, PACKED
BIDEN, IS
BIDENBERNIE, MANIFESTO
BIDENBURNIE, MANIFESTO
BIDENS, CAMPAIGN
BIG, PENALTY
BIGGER, AND
BILL, AMERICANS
BILLING, REQUIRE
BILLION, ON
BIN, LADEN
BIRTH, DEMOCRAT
BIT, WE
BLACK, AND
BLASTS, BULLETS
BLESS, AMERICA
BLESSED, BY
BLIND, BUT
BLOODY, CIVIL
BLOOMING, WITH
BLUECOLLAR, WORKERS
BLUNDERS, IN
BOARD, AND
BOLD, ACTION
BOOING, BIDEN
BORDER, PATROL
BORDERS, WE
BORN, WYATT
BOUNDLESS, OPTIMISM
BRANCH, OF
BRANDNEW, MEXICOUSCANADA
BRAVE, PATRIOTS
BRAVED, THE
BREAKING, THE
BRIGHT, IN
BRIGHTER, FUTURE
BRING, OUR
BRINGING, IT
BROTHER, AND
BUFFALO, BILL
BUILD, THEIR
BUILDING, IT
BUILDINGS, ANYWHERE
BUILT, A
BULLETS, AND
BURNERS, THAT
BUSINESS, TO
BUT, AMERICA
BY, CANCEL
CALAMITIES, THE
CALIFORNIA, HOW
CALIPHATE, AND
CALL, FROM
CALLED, THE
CALLS, FOR
CAME, IN
CAMPAIGN, AND
CAMPUSES, APPLAUSE
